delegacia_name,year,roubo_outros,note
01º D.P. ATIBAIA,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ATIBAIA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. ATIBAIA,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BARRA DO TURVO,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BARUERI,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BARUERI,2023,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. BRAGANÇA PAULISTA,2022,2,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAIEIRAS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAIEIRAS,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAJAMAR,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAMPINAS,2022,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAMPINAS,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAMPINAS,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CAPÃO BONITO,2024,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAGUATATUBA,2023,1,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAPICUIBA,2022,7,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
01º D.P. CARAPICUIBA,2023,4,Source: SSP-SP SPDadosCriminais XLSX; NATUREZA_APURADA=ROUBO - OUTROS; NOME_DEPARTAMENTO=DECAP
