delegacia_name,year,roubo_outros,ibge_district_approx
01º D.P. SE,2022,1105,SÉ
01º D.P. SE,2023,1020,SÉ
01º D.P. SE,2024,666,SÉ
02º D.P. BOM RETIRO,2022,177,BOM RETIRO
02º D.P. BOM RETIRO,2023,152,BOM RETIRO
02º D.P. BOM RETIRO,2024,123,BOM RETIRO
03º D.P. CAMPOS ELISEOS,2022,1480,CAMPOS ELÍSEOS
03º D.P. CAMPOS ELISEOS,2023,1172,CAMPOS ELÍSEOS
03º D.P. CAMPOS ELISEOS,2024,707,CAMPOS ELÍSEOS
04º D.P. CONSOLAÇÃO,2022,391,CONSOLAÇÃO
04º D.P. CONSOLAÇÃO,2023,377,CONSOLAÇÃO
04º D.P. CONSOLAÇÃO,2024,313,CONSOLAÇÃO
05º D.P. ACLIMACAO,2022,232,BELA VISTA
05º D.P. ACLIMACAO,2023,246,BELA VISTA
05º D.P. ACLIMACAO,2024,211,BELA VISTA
06º D.P. CAMBUCI,2022,243,CAMBUCI
06º D.P. CAMBUCI,2023,230,CAMBUCI
06º D.P. CAMBUCI,2024,202,CAMBUCI
07º D.P. LAPA,2022,316,LAPA
07º D.P. LAPA,2023,344,LAPA
07º D.P. LAPA,2024,224,LAPA
08º D.P. BRAS,2022,385,BRÁS
08º D.P. BRAS,2023,371,BRÁS
08º D.P. BRAS,2024,295,BRÁS
09º D.P. - CARANDIRU,2022,415,CARANDIRU / SANTANA
09º D.P. - CARANDIRU,2023,381,CARANDIRU / SANTANA
09º D.P. - CARANDIRU,2024,404,CARANDIRU / SANTANA
100º D.P. JDIM HERCULANO,2022,634,JARDIM HERCULANO / JARDIM ÂNGELA
100º D.P. JDIM HERCULANO,2023,474,JARDIM HERCULANO / JARDIM ÂNGELA
100º D.P. JDIM HERCULANO,2024,339,JARDIM HERCULANO / JARDIM ÂNGELA
101º D.P. JDIM IMBUIAS,2022,402,JARDIM DAS IMBUIAS / SACOMÃ
101º D.P. JDIM IMBUIAS,2023,690,JARDIM DAS IMBUIAS / SACOMÃ
101º D.P. JDIM IMBUIAS,2024,601,JARDIM DAS IMBUIAS / SACOMÃ
102º D.P. SOCORRO,2022,200,SOCORRO
102º D.P. SOCORRO,2023,189,SOCORRO
102º D.P. SOCORRO,2024,158,SOCORRO
103º D.P. COHABII/ITAQU.,2022,219,ITAQUERA
103º D.P. COHABII/ITAQU.,2023,202,ITAQUERA
103º D.P. COHABII/ITAQU.,2024,179,ITAQUERA
