delegacia_xlsx_name
01ª DDM CENTRO
01º D.P. AMERICANA
01º D.P. AMPARO
01º D.P. ARARAQUARA
01º D.P. ARARAS
01º D.P. ASSIS
01º D.P. ATIBAIA
01º D.P. AVARE
01º D.P. BARRA DO TURVO
01º D.P. BARRETOS
01º D.P. BARUERI
01º D.P. BAURU
01º D.P. BIRIGUI
01º D.P. BOTUCATU
01º D.P. BRAGANÇA PAULISTA
01º D.P. CAIEIRAS
01º D.P. CAJAMAR
01º D.P. CAMPINAS
01º D.P. CAMPOS DO JORDÃO
01º D.P. CAPÃO BONITO
01º D.P. CARAGUATATUBA
01º D.P. CARAPICUIBA
01º D.P. CATANDUVA
01º D.P. COTIA
01º D.P. CUBATÃO
01º D.P. DIADEMA
01º D.P. EMBU DAS ARTES
01º D.P. ESPIRITO SANTO PINHAL
01º D.P. FERNANDOPOLIS
01º D.P. FERRAZ VASCONCELOS
01º D.P. GUAIRA
01º D.P. GUARATINGUETA
01º D.P. GUARUJA
01º D.P. GUARULHOS
01º D.P. HORTOLÂNDIA
01º D.P. IGUAPE
01º D.P. INDAIATUBA
01º D.P. ITANHAEM
01º D.P. ITAPECERICA DA SERRA
01º D.P. ITAPIRA
01º D.P. ITAQUAQUECETUBA
01º D.P. ITARARE
01º D.P. ITATIBA
01º D.P. ITU
01º D.P. JACAREI
01º D.P. JAÚ
01º D.P. JUNDIAI
01º D.P. LEME
01º D.P. LIMEIRA
01º D.P. LINS
01º D.P. LORENA
01º D.P. MAIRIPORÃ
01º D.P. MARÍLIA
01º D.P. MATÃO
01º D.P. MOCOCA
01º D.P. MOGI DAS CRUZES
01º D.P. MOGI MIRIM
01º D.P. MONGAGUA
01º D.P. OLIMPIA
01º D.P. OSASCO
01º D.P. OURINHOS
01º D.P. PARAGUACU PAULISTA
01º D.P. PERUIBE
01º D.P. PINDAMONHANGABA
01º D.P. PIRACICABA
01º D.P. PORTO FERREIRA
01º D.P. PRAIA GRANDE-VL. TUPI
01º D.P. REGISTRO
01º D.P. RIBEIRAO PRETO
01º D.P. RIO CLARO
01º D.P. S. JOAO DA BOA VISTA
01º D.P. S. JOAQUIM DA BARRA
01º D.P. S.B.C-DR OMAR CASSIM
01º D.P. S.CAETANO DO SUL
01º D.P. S.CRUZ DO RIO PARDO
01º D.P. S.JOSE DO RIO PRETO
01º D.P. S.JOSE DOS CAMPOS
01º D.P. S.SEBASTIÃO
01º D.P. SALTO
01º D.P. SANTA BARBARA DOESTE
01º D.P. SANTO ANDRÉ
01º D.P. SANTOS
01º D.P. SE
01º D.P. SOROCABA
01º D.P. SUMARE
01º D.P. SUZANO
01º D.P. SÃO CARLOS
01º D.P. SÃO VICENTE
01º D.P. TABOÃO DA SERRA
01º D.P. TATUI
01º D.P. TAUBATE
01º D.P. VALINHOS
01º D.P. VOTORANTIM
01º DP MAUA-DR.ALFREDO GARBINO
02º D.P. AMERICANA
02º D.P. AMPARO
02º D.P. ANDRADINA
02º D.P. ARARAQUARA
02º D.P. ARARAS
02º D.P. ARAÇATUBA
02º D.P. ASSIS
02º D.P. ATIBAIA
02º D.P. AVARE
02º D.P. BARRETOS
02º D.P. BARUERI
02º D.P. BAURU
02º D.P. BEBEDOURO
02º D.P. BOM RETIRO
02º D.P. BOTUCATU
02º D.P. BRAGANÇA PAULISTA
02º D.P. CAMPINAS
02º D.P. CARAGUATATUBA
02º D.P. CARAPICUIBA
02º D.P. CATANDUVA
02º D.P. COTIA
02º D.P. CUBATÃO
02º D.P. DIADEMA
02º D.P. FRANCA
02º D.P. GUARUJA
02º D.P. GUARULHOS
02º D.P. HORTOLÂNDIA
02º D.P. ITANHAEM
02º D.P. ITAPETININGA
02º D.P. ITU
02º D.P. JABOTICABAL
02º D.P. JACAREI
02º D.P. JAÚ
02º D.P. JUNDIAI
02º D.P. LEME
02º D.P. LIMEIRA
02º D.P. LORENA
02º D.P. MAUA
02º D.P. MOGI DAS CRUZES
02º D.P. MOGI GUAÇU
02º D.P. MOGI MIRIM
02º D.P. MONGAGUA
02º D.P. OSASCO
02º D.P. OURINHOS
02º D.P. PINDAMONHANGABA
02º D.P. PIRACICABA
02º D.P. PIRASSUNUNGA
02º D.P. PRES. PRUDENTE
02º D.P. PRES. VENCESLAU
02º D.P. REGISTRO
02º D.P. RIBEIRAO PRETO
02º D.P. RIO CLARO
02º D.P. S. JOAQUIM DA BARRA
02º D.P. S. SEBASTIAO
02º D.P. S.BERNARDO DO CAMPO
02º D.P. S.CAETANO DO SUL
02º D.P. S.JOSE DOS CAMPOS
02º D.P. S.JOSE RIO PRETO
02º D.P. SALTO
02º D.P. SANTA BARBARA DOESTE
02º D.P. SANTO ANDRÉ
02º D.P. SANTOS
02º D.P. SOROCABA
02º D.P. SUMARE
02º D.P. SUZANO
02º D.P. SÃO VICENTE
02º D.P. TABOÃO DA SERRA
02º D.P. TATUI
02º D.P. TAUBATE
02º D.P. VOTORANTIM
02º D.P. VOTUPORANGA
02º D.P.PRAIA GRANDE-BOQUEIRÃO
03º D.P. AEROP/TUR-GUARULHOS
03º D.P. AMERICANA
03º D.P. ARARAQUARA
03º D.P. ARAÇATUBA
03º D.P. ATIBAIA
03º D.P. AVARE
03º D.P. BARRETOS
03º D.P. BAURU
03º D.P. BEBEDOURO
03º D.P. BOTUCATU
03º D.P. BRAGANÇA PAULISTA
03º D.P. CAMPINAS
03º D.P. CAMPOS ELISEOS
03º D.P. CARAPICUIBA
03º D.P. CUBATÃO
03º D.P. DIADEMA
03º D.P. GUARATINGUETA
03º D.P. GUARULHOS
03º D.P. ITANHAEM
03º D.P. ITAPEVA
03º D.P. ITU
03º D.P. JACAREI
03º D.P. JUNDIAI
03º D.P. LIMEIRA
03º D.P. LINS
03º D.P. MAUA
03º D.P. MOGI DAS CRUZES
03º D.P. MOGI GUAÇU
03º D.P. MOGI MIRIM
03º D.P. OSASCO
03º D.P. OURINHOS
03º D.P. PINDAMONHANGABA
03º D.P. PIRASSUNUNGA
03º D.P. PRAIA GRANDE
03º D.P. PRAIA GRANDE-CAIÇARA
03º D.P. PRES. PRUDENTE
03º D.P. RIBEIRAO PRETO
03º D.P. RIO CLARO
03º D.P. S. JOAO DA BOA VISTA
03º D.P. S.BERNARDO DO CAMPO
03º D.P. S.CAETANO DO SUL
